what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299973711589
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299973712500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299973969370
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299973980985
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974000619
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1299974005070
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1299974012121
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1299974017321
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974021984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974026493
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974027106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974073906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974074910
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974087450
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974090782
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974091424
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974092676
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974097778
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974098972
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974099466
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1299974101708
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974103886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974112587
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1299974114732
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1299974117416
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1299974141721
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1299974145080
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974154304
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974154911
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974156783
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974159593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974159940
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974195635
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974196628
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974272558
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1299974300634
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1299974304278
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974306063
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974306433
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974308379
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974310944
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974311294
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974342714
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1299974346696
