what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1299982952858
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1299982952858
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1299982952872
started,bundle,org.eclipse.rse.ui,3.1.1.v200909160005,"org.eclipse.rse.ui",1299982952907
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1299982952918
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1299982952933
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1299982952965
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1299982953005
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1299982953005
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1299982953041
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1299982953078
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1299982953097
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1299982953133
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1299982953156
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1299982953207
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1299982953254
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1299982953254
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1299982953307
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1299982953362
started,bundle,com.google.appengine.eclipse.core,1.4.0.v201010280047,"com.google.appengine.eclipse.core",1299982953362
started,bundle,com.google.gdt.eclipse.core,1.4.0.v201010280047,"com.google.gdt.eclipse.core",1299982953363
started,bundle,com.google.gdt.eclipse.maven,1.4.0.v201010280047,"com.google.gdt.eclipse.maven",1299982953363
started,bundle,com.google.gdt.eclipse.platform.e35,1.4.0.v201010280047,"com.google.gdt.eclipse.platform.e35",1299982953382
started,bundle,com.google.gdt.eclipse.platform.shared,1.4.0.v201010280047,"com.google.gdt.eclipse.platform.shared",1299982953382
started,bundle,com.google.gdt.eclipse.suite,1.4.0.v201010280047,"com.google.gdt.eclipse.suite",1299982953382
started,bundle,com.google.gwt.eclipse.core,1.4.0.v201010280047,"com.google.gwt.eclipse.core",1299982953402
started,bundle,org.eclipse.egit.core,0.9.3,"org.eclipse.egit.core",1299982953460
started,bundle,org.eclipse.egit.ui,0.9.3,"org.eclipse.egit.ui",1299982953479
started,bundle,org.eclipse.jgit,0.9.3,"org.eclipse.jgit",1299982953479
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1299982953524
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1299982953567
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1299982953585
os,sysinfo,,,"macosx",1299982953589
arch,sysinfo,,,"x86",1299982953589
ws,sysinfo,,,"cocoa",1299982953589
locale,sysinfo,,,"en_US",1299982953589
processors,sysinfo,,,"2",1299982953589
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1299982953589
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1299982953589
java.specification.name,sysinfo,,,"Java Platform API Specification",1299982953589
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299982953589
java.specification.version,sysinfo,,,"1.6",1299982953589
java.vendor,sysinfo,,,"Apple Inc.",1299982953589
java.version,sysinfo,,,"1.6.0_20",1299982953589
java.vm.info,sysinfo,,,"mixed mode",1299982953589
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1299982953589
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299982953589
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299982953589
java.vm.specification.version,sysinfo,,,"1.0",1299982953589
java.vm.vendor,sysinfo,,,"Apple Inc.",1299982953589
java.vm.version,sysinfo,,,"16.3-b01-279",1299982953589
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1299982953794
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1299982953957
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1299982954004
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1299982954169
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20100512-1900,"org.eclipse.team.svn.mylyn",1299982954481
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1299982954690
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1299982955829
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1299982956712
started,bundle,org.eclipse.team.svn.core,0.7.9.I20100512-1900,"org.eclipse.team.svn.core",1299982957086
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui",1299982957415
